特征,中文名,VIF
TP,*总蛋白,inf
GLOB,*球蛋白,inf
ALB,白蛋白,inf
MCV,红细胞平均体积,197394.2551823359
HCT,红细胞压积,150663.64848298958
MCH,红细胞平均血红蛋白量,147166.72748707308
MCHC,红细胞平均血红蛋白浓度,125315.90811297673
HGB,血红蛋白,85053.18704897995
NEUT_pct,中性粒细胞%,47930.694755677054
RBC,红细胞计数,32374.5813993968
LYMPH_pct,淋巴细胞%,17447.46329866567
PLT,血小板计数,1566.2095376238415
TC,总胆固醇,1526.8083402274494
PCT,血小板比积,1514.0767602882063
MPV,血小板平均体积,1498.6476065712093
MONO_pct,单核细胞%,737.5950406277614
LDL_C,低密度脂蛋白胆固醇,709.4179257876059
AGR,白球比例,631.3032487508798
RDW,红细胞体积分布宽度,362.84828735592856
HDL_C,高密度脂蛋白胆固醇,166.33992513636403
EO_pct,嗜酸细胞%,105.08060253058018
Cr,肌酐,96.87864183461164
PDW,血小板体积分布宽度,72.35140091269058
UA,尿酸,35.26546048218146
WBC,白细胞计数,26.992001936222117
BUN,尿素,25.737790280560514
HBeAb,乙肝e抗体,25.126093665489844
AST,*天门冬氨酸氨基转换酶,23.273676475412334
age,年龄,21.14676679875881
ALP,*碱性磷酸酶,18.583990498113234
BASO_pct,嗜碱细胞%,12.820470146106397
ALT,*丙氨酸氨基转换酶,12.563651469262986
gender_male,,8.363218738070634
HBcAb,乙肝核心抗体,7.800377673202675
TG,甘油三酯,6.9251324081089844
GGT,*r-谷氨酰基转换酶,3.275200864708502
HBsAb,乙肝表面抗体,1.981074550437085
HBsAg,乙肝表面抗原,1.1138558189216767
HBeAg,乙肝e抗原,1.0929443534488024
