变量,中文名,系数(B),标准误(SE),t值,p值,95%CI_lower,95%CI_upper
const,截距,8.77358236573678,0.6744099616851269,13.009271606567772,4.862624886637736e-38,7.451423654577909,10.095741076895653
age,年龄,0.02868574297494002,0.0016581879732261004,17.299451834239427,4.671060345222102e-65,0.025434919591397893,0.03193656635848215
gender_male,gender_male,0.3991818710135208,0.0523991144524719,7.618103381796553,3.0920058956636074e-14,0.29645511790145407,0.5019086241255876
TG,甘油三酯,0.21245503605610672,0.013589169553932093,15.634144177311542,9.34931825383948e-54,0.18581391281668636,0.23909615929552708
ALT,*丙氨酸氨基转换酶,0.0070423414824913174,0.001033277401052834,6.815538088141372,1.0573100066258833e-11,0.005016634873069312,0.009068048091913323
BUN,尿素,0.09634790082288847,0.018977105439795146,5.077059888219103,3.9808507938554275e-07,0.05914390518926511,0.13355189645651183
UA,尿酸,-0.00250967703727696,0.00030417238200218765,-8.250837964831764,2.0207422010694775e-16,-0.0031059970613069453,-0.0019133570132469743
MCV,红细胞平均体积,-0.03628786194001517,0.005298626968945318,-6.8485406035741745,8.418685956346143e-12,-0.04667564711843638,-0.025900076761593956
RDW,红细胞体积分布宽度,-0.15199924095633138,0.023378047439321016,-6.501793674208833,8.759494391823976e-11,-0.1978311396942312,-0.10616734221843158
WBC,白细胞计数,0.05246779415834426,0.012712541986595187,4.127246479395642,3.734719392866532e-05,0.027545270643786264,0.07739031767290225
